,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
1013,0.49,3,3,6,62.3,57.0,5.02,5.05,3.14,1507.7982186443187
1014,1.06,5,2,7,60.2,57.0,6.62,6.66,4.0,6528.419332917343
1015,0.54,2,7,3,63.7,57.0,5.22,5.14,3.3,1577.1579794345682
1016,0.52,3,6,2,62.6,58.0,5.11,5.14,3.21,1204.9522847013523
1017,0.41,5,6,5,62.1,56.0,4.78,4.75,2.96,1255.8032045199225
1018,0.5,2,6,6,61.6,62.0,5.04,5.09,3.12,1825.2253915403846
1019,1.06,5,2,2,62.7,58.0,6.48,6.5,4.07,3563.503353403342
1020,0.44,5,6,3,61.1,56.0,4.92,4.9,3.0,1124.4492392076595
1021,0.73,5,5,5,62.6,56.0,5.73,5.71,3.58,3534.9433660709456
1022,0.56,5,7,4,61.9,57.0,5.26,5.3,3.27,2117.596393874893
1023,0.42,3,7,2,63.1,56.0,4.8,4.74,3.01,841.2233618522797
1024,0.81,3,5,6,63.1,56.0,5.99,5.9,3.75,4470.869520400076
1025,0.72,5,2,4,61.8,56.0,5.72,5.77,3.56,2404.541425140975
1026,0.41,5,7,4,62.4,55.0,4.76,4.79,2.98,1177.4896863793524
1027,1.01,3,2,3,63.3,59.0,6.26,6.22,3.95,3763.3443077875286
1028,1.13,5,6,1,62.0,55.0,6.66,6.7,4.14,3916.4126055586735
1029,1.53,4,5,4,58.5,60.0,7.62,7.56,4.44,12591.490810431666
1030,0.72,5,3,7,62.5,57.0,5.7,5.73,3.57,3512.955565290756
1031,0.7,3,6,2,59.5,56.0,5.79,5.81,3.45,2121.3019063539414
1032,1.09,3,4,4,60.9,56.0,6.67,6.7,4.07,6072.873634382468
1033,1.22,3,2,5,61.6,60.0,6.86,6.8,4.21,6877.616903288753
1034,0.31,5,7,5,60.5,55.0,4.43,4.39,2.67,776.5248223735942
1035,0.42,5,4,8,62.7,56.0,4.76,4.77,2.99,1470.2642195184678
1036,0.3,4,5,4,60.7,58.0,4.35,4.32,2.63,584.3173353168439
1037,1.31,4,1,3,60.7,58.0,7.11,7.06,4.3,5230.606038087213
1038,1.01,2,5,2,64.3,59.0,6.33,6.26,4.05,3838.5080532383868
1039,1.26,4,3,2,61.3,57.0,6.96,6.87,4.24,5421.02947480216
1040,2.23,4,1,2,60.5,61.0,8.47,8.4,5.1,11712.534474527636
1041,0.72,2,5,3,60.4,61.0,5.75,5.8,3.49,2478.5079329959945
1042,1.0,1,5,4,64.7,59.0,6.22,6.15,4.0,4921.808656364503
1043,0.53,2,2,5,64.3,55.0,5.17,5.13,3.31,1375.4121618573874
1044,2.01,3,4,3,63.1,59.0,8.03,7.98,5.05,16662.87125178398
1045,0.32,5,7,6,61.3,55.8,4.43,4.44,2.71,898.2032273856231
1046,1.04,5,3,3,62.7,54.0,6.51,6.47,4.07,4680.682414792196
1047,1.22,5,4,8,61.7,56.0,6.87,6.91,4.25,10965.722116382027
1048,1.0,2,3,3,63.7,60.0,6.33,6.3,4.02,3974.7695661844323
1049,0.31,5,7,8,61.1,56.0,4.39,4.42,2.69,971.5102282705302
1050,2.01,4,3,4,62.8,58.0,7.99,7.9,4.99,18160.959474361494
1051,0.36,5,5,5,61.3,54.0,4.63,4.65,2.84,936.7561468417023
1052,0.39,3,2,6,62.7,58.0,4.65,4.67,2.92,875.975686949546
1053,0.33,4,4,5,61.6,58.0,4.44,4.39,2.72,730.4988575292692
1054,0.32,4,2,8,60.3,58.0,4.45,4.41,2.67,714.4559939273585
1055,0.4,5,5,2,62.1,54.0,4.75,4.78,2.96,735.0728320093671
1056,1.0,3,7,3,62.1,61.0,6.3,6.32,3.92,5229.526954147324
1057,0.33,1,3,6,65.1,59.0,4.4,4.32,2.84,643.25387457993
1058,1.5,5,4,5,61.3,56.0,7.41,7.37,4.53,12922.511727733816
1059,0.81,3,2,5,63.2,59.0,5.9,5.84,3.71,3174.1030690131197
1060,0.32,3,4,7,60.9,57.0,4.41,4.44,2.69,789.955770990247
1061,1.11,3,3,5,63.2,57.0,6.61,6.53,4.15,6432.558089300134
1062,0.5,5,3,4,60.8,56.0,5.17,5.19,3.14,1356.1246562606648
1063,0.33,2,2,5,63.1,56.0,4.38,4.4,2.77,564.4515660335661
1064,0.27,1,6,5,66.4,58.0,3.99,4.02,2.66,488.6169931551553
1065,1.7,5,3,1,61.3,55.0,7.7,7.63,4.7,6982.608129644733
1066,0.4,3,6,3,60.8,62.0,4.72,4.76,2.88,894.1507522611226
1067,1.51,2,6,2,63.1,58.0,7.28,7.31,4.6,8628.209349951598
1068,0.3,3,6,4,61.9,61.0,4.28,4.32,2.66,596.3769391380221
1069,0.64,3,7,3,63.7,54.0,5.47,5.52,3.5,2258.4454133111485
1070,0.9,2,5,3,62.8,64.0,6.18,5.99,3.82,3753.5780161531384
1071,1.0,3,3,2,60.2,61.0,6.44,6.48,3.89,3415.7104173811763
1072,1.01,5,7,4,59.8,56.0,6.49,6.52,3.89,6453.178641234829
1073,0.41,3,6,3,62.9,57.0,4.72,4.76,2.98,935.594953411194
1074,1.0,1,5,4,68.4,58.0,5.97,6.1,4.13,4897.017901605149
1075,0.31,3,4,3,61.5,59.0,4.34,4.38,2.68,494.6698752344391
1076,1.03,3,7,2,61.8,60.0,6.42,6.45,3.98,4555.686237589251
1077,1.03,4,3,3,61.9,58.0,6.49,6.43,4.0,4499.161773206729
1078,0.91,4,4,6,61.8,58.0,6.24,6.16,3.83,5381.417735606434
1079,0.31,3,6,7,60.0,56.0,4.45,4.49,2.68,834.0923227608813
1080,0.8,3,6,3,62.9,60.0,5.87,5.89,3.7,3289.3231917444577
1081,1.02,3,7,3,62.7,60.0,6.34,6.39,3.99,5425.351108458863
1082,1.0,5,4,5,62.5,54.0,6.41,6.45,4.02,6016.93712062604
1083,0.34,4,7,3,62.8,58.0,4.48,4.44,2.8,704.7663527460455
1084,1.0,5,4,4,62.3,54.0,6.42,6.38,3.99,5407.852496895723
1085,0.73,5,4,4,61.7,56.0,5.79,5.81,3.58,2990.1589645968766
1086,0.34,2,6,3,63.3,57.0,4.44,4.47,2.82,632.8940747552407
1087,1.0,4,1,3,62.8,59.0,6.37,6.27,3.97,3134.019657308709
1088,0.54,5,4,5,61.8,55.3,5.22,5.24,3.23,1886.8539342955303
1089,1.02,3,5,2,60.9,58.0,6.43,6.55,3.95,4084.532121814436
1090,0.8,3,4,6,62.5,56.0,5.95,5.98,3.73,4109.81953368121
1091,0.31,3,3,3,61.0,61.0,4.33,4.39,2.66,456.7869020549451
1092,2.0,4,7,2,61.6,59.0,8.2,8.09,5.02,16335.532079200524
1093,1.5,4,1,6,61.5,60.0,7.31,7.27,4.48,9392.108782479076
1094,1.22,4,2,2,62.5,58.0,6.8,6.76,4.24,4549.257975475897
1095,0.72,3,2,4,61.8,60.0,5.72,5.76,3.55,2288.728783185627
1096,0.3,2,4,2,63.3,57.0,4.25,4.28,2.7,367.94122443016346
1097,0.54,2,6,4,60.2,61.0,5.27,5.32,3.19,1741.581005348046
1098,1.02,4,5,3,62.3,58.0,6.38,6.46,4.0,5084.839341183798
1099,1.01,3,5,4,63.1,60.0,6.39,6.29,4.0,5566.596695999847
1100,0.3,5,4,8,60.9,56.0,4.34,4.36,2.65,782.5498311441187
1101,1.19,4,2,2,61.6,56.0,6.87,6.83,4.22,4351.079415456964
1102,1.51,2,2,2,63.6,60.0,7.23,7.27,4.61,6355.550072176723
1103,1.02,2,4,1,57.4,59.0,6.64,6.6,3.8,2665.9982593488394
1104,3.22,5,2,1,62.6,55.0,9.49,9.42,5.92,20734.279286106812
1105,0.41,5,6,3,62.9,57.0,4.76,4.72,2.98,981.189331379718
1106,0.52,3,7,2,62.4,59.0,5.05,5.15,3.18,1257.3144283521415
1107,1.52,4,7,3,60.8,61.0,7.39,7.26,4.45,11840.926259009537
1108,0.36,5,3,7,62.0,54.0,4.59,4.61,2.85,954.6372808872015
1109,0.51,4,7,3,62.7,59.0,5.08,5.06,3.18,1511.7139199333735
1110,0.53,4,1,4,62.7,56.0,5.18,5.15,3.24,1090.310397441252
1111,1.01,2,5,2,61.3,62.0,6.44,6.48,3.96,3851.727177117733
1112,0.7,2,5,1,63.9,60.0,5.65,5.52,3.58,1380.5374015321431
1113,0.34,5,3,4,61.2,55.0,4.49,4.53,2.76,655.9416759277663
1114,1.04,4,4,4,62.2,58.0,6.49,6.4,4.01,5692.941419234104
1115,0.39,4,6,4,60.1,61.0,4.76,4.72,2.85,1006.8356853558629
1116,1.01,4,5,5,61.7,58.0,6.4,6.43,3.96,6383.481603034096
1117,0.3,3,5,7,62.6,56.0,4.27,4.29,2.68,742.4524307298536
1118,1.71,5,4,5,63.0,56.0,7.65,7.58,4.8,16493.598599692195
1119,1.1,4,3,4,61.4,58.0,6.68,6.62,4.08,5850.293089917212
1120,1.15,5,3,2,62.6,55.0,6.74,6.65,4.19,4654.925370727321
1121,0.32,5,3,5,61.8,55.0,4.41,4.42,2.73,650.6723962867168
1122,2.01,4,4,2,59.9,62.0,8.15,8.04,4.85,14144.645451208115
1123,0.24,3,4,7,61.7,56.0,3.98,4.02,2.46,459.2029656644849
1124,0.41,3,6,2,62.9,58.0,4.74,4.77,2.99,769.877153104228
1125,0.28,3,7,7,60.6,58.0,4.23,4.25,2.57,717.2907923159937
1126,0.31,4,7,3,60.9,60.0,4.38,4.39,2.67,593.5389927932886
1127,0.45,2,5,4,56.8,62.0,5.1,5.14,2.91,1181.0168465996562
1128,0.44,3,6,5,60.7,58.0,4.88,4.91,2.97,1369.5724020108455
1129,0.37,5,5,7,61.3,56.0,4.65,4.68,2.86,1158.0339152069942
1130,0.9,4,4,4,62.4,61.0,6.17,6.13,3.84,4329.2273369058685
1131,0.53,5,5,2,62.2,53.0,5.19,5.22,3.24,1249.0532497542265
1132,0.54,4,2,8,58.8,61.0,5.35,5.29,3.13,1915.7951904433478
1133,1.0,3,6,4,59.0,58.0,6.49,6.53,3.84,5789.33080457152
1134,0.32,5,5,8,61.3,57.0,4.42,4.46,2.72,938.9165726355418
1135,1.23,4,3,2,61.2,57.0,6.89,6.86,4.21,5181.401861814191
1136,1.02,3,6,2,62.8,55.0,6.4,6.43,4.03,4288.7865555077415
1137,0.56,4,6,6,59.2,56.0,5.49,5.39,3.22,2425.8838177808575
1138,0.43,5,3,8,62.2,55.0,4.87,4.84,3.02,1421.029302184357
1139,0.52,5,4,5,62.1,54.0,5.14,5.17,3.2,1757.6686476580478
1140,0.38,3,4,3,61.8,53.7,4.67,4.69,2.9,727.1828647690577
1141,0.9,3,2,7,63.4,57.0,6.09,6.12,3.87,4551.169760194555
1142,1.72,4,3,3,62.0,57.0,7.67,7.63,4.74,11818.003079559036
1143,0.31,3,3,3,61.7,59.0,4.36,4.39,2.7,456.6651697920436
1144,2.02,4,5,2,61.0,59.0,8.2,8.13,4.98,15179.11943559914
1145,0.56,5,6,6,61.0,56.0,5.32,5.36,3.26,2469.5210439312923
1146,0.42,5,4,8,62.0,57.0,4.82,4.8,2.98,1471.222938592381
1147,0.34,3,2,3,61.3,61.0,4.45,4.49,2.74,485.62520349298904
1148,0.43,5,4,5,62.3,56.0,4.82,4.85,3.01,1227.4210660817546
1149,1.51,1,1,3,63.4,60.0,7.31,7.18,4.59,5975.928324962157
1150,0.32,3,4,4,60.2,57.0,4.42,4.45,2.67,604.6614753390521
1151,1.24,4,4,5,62.0,55.0,6.95,6.89,4.29,8838.59429600859
1152,0.31,5,6,5,61.4,56.0,4.38,4.35,2.68,742.6632562915981
1153,1.32,5,4,6,62.3,57.0,6.96,7.04,4.36,11063.92761779731
1154,1.02,5,3,2,61.6,55.0,6.49,6.43,3.98,3719.7421274657863
1155,0.7,3,1,4,61.1,61.0,5.64,5.69,3.46,1792.8688998706884
1156,1.0,4,5,5,62.7,55.0,6.39,6.34,3.99,6263.641668602766
1157,0.41,5,4,4,61.4,59.0,4.78,4.76,2.93,1008.3225064962508
1158,0.52,4,4,3,59.7,60.0,5.22,5.2,3.11,1348.9564302041942
1159,0.51,3,7,4,60.5,60.0,5.16,5.19,3.13,1694.7611638082212
1160,0.3,4,7,3,61.7,59.0,4.28,4.31,2.65,557.5268873600006
1161,0.39,2,7,6,58.1,60.0,4.82,4.85,2.81,1201.0313615035798
1162,0.38,4,4,8,62.5,60.0,4.64,4.61,2.89,1190.9523628805418
1163,1.01,4,5,2,58.3,58.0,6.56,6.55,3.82,4136.136500200353
1164,1.36,5,4,3,60.9,56.0,7.15,7.16,4.36,8415.651488681062
1165,1.21,5,2,3,60.6,55.0,6.92,6.87,4.18,5579.919319837945
1166,0.3,3,5,8,62.1,57.0,4.26,4.3,2.66,791.8321379376301
1167,0.41,4,7,7,62.2,58.0,4.77,4.71,2.95,1506.811300498368
1168,2.03,4,1,5,59.3,60.0,8.36,8.28,4.93,15266.966378398427
1169,0.36,5,7,3,62.5,56.0,4.55,4.57,2.85,802.433342665933
1170,0.4,4,7,3,61.4,56.0,4.83,4.72,2.93,960.0553843962207
1171,2.11,4,7,2,60.9,60.0,8.28,8.21,5.02,18080.696591300835
1172,1.06,5,3,3,63.0,55.0,6.49,6.44,4.08,4847.01736606132
1173,0.33,2,2,5,63.2,57.0,4.37,4.4,2.77,564.1056884241967
1174,0.72,4,6,8,61.3,60.0,5.74,5.71,3.51,4446.670533423882
1175,1.51,2,1,3,62.4,64.0,7.31,7.23,4.54,6373.890493541537
1176,1.0,4,4,4,62.9,56.0,6.42,6.27,3.99,5286.635233681523
1177,1.02,5,5,3,62.8,55.0,6.43,6.4,4.03,5194.653264752971
1178,0.43,5,6,2,62.1,56.0,4.85,4.84,3.01,885.0620291210644
1179,1.0,1,4,1,66.4,59.0,6.16,6.09,4.07,2373.4567135515863
1180,1.7,4,2,3,58.6,59.0,7.79,7.75,4.55,10381.898881360246
1181,0.72,5,7,2,61.1,58.0,5.76,5.79,3.53,2439.4957461650633
1182,1.22,4,4,3,63.0,57.0,6.84,6.74,4.28,6692.357826594537
1183,1.06,2,5,5,58.5,57.0,6.68,6.73,3.92,6591.821548907178
1184,1.11,5,3,3,60.2,54.0,6.82,6.7,4.07,5312.7342356818945
1185,1.01,4,3,2,61.9,59.0,6.42,6.37,3.96,3568.0810513123615
1186,1.06,4,4,7,61.1,58.0,6.53,6.57,4.0,7731.498047959671
1187,1.54,4,6,2,59.0,62.0,7.59,7.56,4.47,9598.009181252646
1188,0.56,3,6,3,58.5,59.0,5.42,5.45,3.18,1693.371819746272
1189,0.25,2,5,5,63.6,57.0,4.01,4.04,2.56,430.7310283666644
1190,0.9,5,7,3,61.6,56.0,6.19,6.21,3.82,4511.06597678723
1191,0.56,1,6,2,64.5,61.0,5.18,5.14,3.33,1245.3096526072948
1192,0.31,5,5,8,60.8,56.0,4.43,4.45,2.7,885.5552640893294
1193,0.39,3,7,4,60.2,59.0,4.74,4.76,2.86,1023.6494937214634
1194,1.01,4,5,5,59.4,60.0,6.5,6.46,3.85,6401.868290601862
1195,2.02,5,2,3,62.4,56.0,8.07,8.11,5.05,14595.603055118823
1196,1.03,5,7,2,61.2,57.0,6.51,6.59,4.01,4788.635346862238
1197,1.57,4,3,5,61.7,58.0,7.47,7.56,4.64,12716.425842894667
1198,0.31,3,7,8,62.0,56.0,4.33,4.35,2.69,925.029184738119
1199,0.5,4,7,3,61.1,59.0,5.08,5.04,3.09,1460.1096097370944
1200,0.3,5,6,4,62.4,57.0,4.29,4.24,2.66,626.0380045162191
1201,1.22,3,7,2,62.2,58.0,6.85,6.91,4.28,6267.38851981153
1202,0.27,3,5,6,61.9,58.0,4.17,4.2,2.59,565.5748098040378
1203,0.41,5,6,7,61.9,55.0,4.79,4.78,2.96,1476.9299758229822
1204,1.24,4,5,3,61.6,59.0,6.9,6.86,4.24,7349.767867341657
1205,0.41,3,2,7,62.0,56.0,4.75,4.77,2.95,1038.423706130714
1206,0.4,5,4,2,62.5,53.0,4.75,4.79,2.98,690.9449256508075
1207,1.01,5,5,3,62.0,57.0,6.38,6.42,3.97,5100.936599630461
1208,1.5,4,2,5,62.7,59.0,7.25,7.3,4.56,10410.057193275477
1209,0.56,5,7,2,61.3,56.0,5.3,5.33,3.26,1520.736668718444
1210,0.36,5,2,5,62.1,57.0,4.54,4.58,2.83,724.9865439656423
1211,1.51,4,2,4,59.9,60.0,7.42,7.36,4.43,9509.74519618228
1212,1.3,3,2,5,62.1,59.0,6.97,7.01,4.34,7748.441808521204
1213,0.32,5,4,7,61.7,56.0,4.41,4.37,2.71,827.7637928246241
1214,0.26,3,6,3,62.0,54.0,4.08,4.11,2.54,397.9885462404915
1215,1.51,3,6,2,61.8,57.0,7.34,7.32,4.53,8982.78166732928
1216,0.33,4,6,7,60.1,58.0,4.51,4.47,2.7,962.7425574136323
1217,1.34,5,4,5,62.7,57.0,7.04,7.1,4.43,10421.921858385333
1218,1.01,2,6,3,63.2,59.0,6.25,6.28,3.96,4912.3389755294
1219,1.0,4,4,4,60.0,59.0,6.54,6.46,3.9,5304.184367959153
1220,1.42,5,5,7,60.8,56.0,7.25,7.32,4.43,14581.451551657621
1221,0.9,4,3,4,61.2,61.0,6.18,6.08,3.75,4005.573066171032
1222,1.01,3,6,4,63.4,60.0,6.37,6.31,4.02,5851.952326040203
1223,0.36,4,7,4,60.5,58.0,4.63,4.6,2.79,904.3090006465792
1224,0.7,4,6,3,59.1,62.0,5.8,5.74,3.41,2641.5621795765455
1225,0.37,2,4,2,63.3,55.0,4.58,4.61,2.91,546.5960614315554
1226,0.91,3,6,3,63.3,56.0,6.12,6.17,3.89,4197.1450838219
1227,0.8,5,3,4,62.8,57.0,5.91,5.87,3.7,3273.664191387919
1228,0.9,2,6,2,63.4,60.0,6.02,6.07,3.83,3252.397484650233
1229,0.31,5,4,8,61.7,56.0,4.38,4.34,2.69,831.3129477055486
1230,1.51,2,4,5,62.4,59.0,7.25,7.28,4.53,11977.473594641573
1231,1.11,4,2,2,61.5,58.0,6.65,6.61,4.08,3813.8822882973386
1232,0.41,5,3,5,61.0,54.0,4.84,4.8,2.94,1039.397251015209
1233,1.01,3,1,2,62.8,59.0,6.34,6.37,3.99,2559.3435910610124
1234,0.7,5,7,4,61.6,58.0,5.66,5.7,3.5,3223.446647073541
1235,1.63,5,4,5,61.7,55.0,7.6,7.56,4.68,15108.896355669827
1236,1.61,4,7,2,61.3,58.0,7.56,7.49,4.61,10868.38494422091
1237,0.72,3,3,3,63.0,58.0,5.68,5.71,3.59,2228.1860789229713
1238,0.54,4,4,4,62.0,58.0,5.21,5.18,3.22,1657.870223390561
1239,1.22,3,4,8,62.0,59.0,6.8,6.85,4.23,10437.09477019388
1240,0.33,4,4,8,59.4,59.0,4.54,4.49,2.68,918.1306319670688
1241,1.34,3,4,4,60.7,59.0,7.04,7.07,4.28,8949.493426274403
1242,0.76,5,3,7,61.8,57.0,5.82,5.86,3.61,3893.7334495068008
1243,1.74,5,6,2,62.3,57.0,7.8,7.7,4.83,12293.050194620564
1244,0.32,5,4,3,61.3,57.0,4.37,4.4,2.69,551.4006534573424
1245,0.5,5,5,4,61.1,58.0,5.1,5.13,3.13,1559.893028430471
1246,1.44,2,4,1,63.2,54.8,7.18,7.21,4.54,5064.479167445242
1247,0.7,1,2,3,65.2,58.0,5.6,5.56,3.64,1699.2828550710442
1248,0.52,5,6,4,61.4,54.0,5.2,5.23,3.2,1768.7663860758762
1249,0.73,3,4,7,62.9,59.0,5.7,5.78,3.61,3717.10559993994
1250,1.23,4,3,5,61.1,58.0,6.91,6.86,4.21,8039.2537760918585
1251,1.02,4,3,4,61.9,57.0,6.5,6.4,3.99,5073.204984990219
1252,1.0,5,6,3,61.6,55.0,6.45,6.43,3.97,5273.581740802311
1253,0.7,3,7,3,61.1,58.0,5.66,5.73,3.48,2679.609190018154
1254,1.5,3,6,2,62.8,57.0,7.17,7.23,4.52,8857.055036273845
1255,2.0,3,1,6,63.0,59.0,7.97,8.0,5.03,15686.174633416991
1256,0.3,3,4,4,63.1,56.0,4.28,4.25,2.69,533.2369842441271
1257,0.26,4,6,6,58.9,61.0,4.19,4.16,2.46,571.1462824599622
1258,0.58,4,6,3,62.7,58.0,5.33,5.32,3.34,1846.3023846808746
1259,0.4,3,5,5,60.4,61.0,4.74,4.77,2.87,1087.384571191995
1260,0.26,5,7,5,62.0,55.0,4.12,4.1,2.55,556.2626639618071
1261,1.0,1,3,2,65.1,58.0,6.27,6.15,4.05,3063.708416598953
1262,0.52,1,5,5,57.2,59.0,5.35,5.39,3.07,1618.7582578880815
1263,1.02,4,7,2,59.7,60.0,6.58,6.55,3.92,4609.95281708776
1264,1.7,2,2,3,59.3,58.0,7.72,7.77,4.59,9725.648372650387
1265,1.01,4,3,2,61.6,61.0,6.39,6.31,3.91,3566.7242405914158
1266,0.55,5,6,4,61.8,57.0,5.34,5.27,3.28,1961.7807789225046
1267,1.04,2,5,5,63.2,57.0,6.41,6.44,4.06,6311.262192396834
1268,1.02,4,7,4,62.9,60.0,6.42,6.37,4.02,6395.326630465157
1269,0.3,5,5,3,62.3,54.0,4.3,4.27,2.67,519.3107195121429
1270,0.97,5,5,1,60.7,56.0,6.43,6.41,3.9,2797.933480100706
1271,0.31,5,6,4,62.0,55.0,4.35,4.33,2.69,666.943078311939
1272,0.81,5,3,5,61.8,58.0,5.97,6.04,3.71,3733.9928079445995
1273,1.02,4,7,3,62.3,59.0,6.42,6.38,3.99,5578.641755959343
1274,0.3,4,2,7,61.1,59.0,4.31,4.33,2.64,592.4162061357878
1275,0.4,3,6,5,62.8,59.0,4.63,4.67,2.92,1140.2504437356945
1276,0.71,3,5,7,63.2,60.0,5.65,5.61,3.56,3749.025209441649
1277,0.7,4,4,3,61.5,58.0,5.69,5.76,3.52,2355.948199749618
1278,0.23,5,6,2,61.5,55.0,3.95,3.98,2.43,272.8688689910905
1279,1.09,5,4,5,62.3,55.0,6.59,6.63,4.12,7075.784149230133
1280,0.3,5,6,6,61.0,56.0,4.33,4.39,2.66,762.5065275143976
1281,0.35,4,6,4,59.5,58.0,4.59,4.62,2.74,823.1290149722292
1282,1.13,5,5,4,62.1,56.0,6.65,6.71,4.15,7236.245874757885
1283,0.31,5,4,7,61.5,54.0,4.36,4.39,2.69,780.714565405587
1284,1.33,5,2,4,61.1,54.0,7.14,7.15,4.37,7651.295728560459
1285,1.25,4,2,2,60.5,58.0,7.0,6.96,4.22,4777.483363784307
1286,2.0,1,3,3,61.2,50.0,8.17,8.08,4.97,13861.66060523612
1287,0.7,5,4,3,62.5,56.0,5.67,5.69,3.55,2403.7779076556035
1288,0.39,2,5,4,64.3,55.0,4.56,4.64,2.96,893.855293885844
1289,0.5,5,6,4,60.8,57.0,5.16,5.13,3.13,1642.1586936664155
1290,0.3,4,6,4,61.6,58.0,4.33,4.31,2.66,613.6660167308103
1291,1.37,5,1,4,63.0,57.0,7.11,7.05,4.46,6648.630186526655
1292,0.8,5,3,4,62.1,54.0,5.96,5.99,3.71,3281.8635482424133
1293,0.28,3,5,7,60.1,59.0,4.24,4.25,2.55,653.7568079927663
1294,0.34,2,6,3,60.5,60.1,4.5,4.53,2.73,634.8594808143753
1295,0.3,3,6,4,62.6,58.0,4.25,4.28,2.67,596.4907113176932
1296,0.85,5,6,2,62.8,57.0,6.06,6.01,3.79,3187.978563759162
1297,1.0,3,6,3,60.9,59.0,6.38,6.43,3.9,5025.094415264243
1298,0.41,4,4,4,62.6,59.0,4.73,4.76,2.97,985.6948133991609
1299,1.5,4,4,4,60.3,60.0,7.34,7.26,4.4,11370.094872988459
1300,0.72,3,3,2,63.3,57.0,5.7,5.67,3.6,1834.302789010092
1301,0.33,4,4,5,62.0,59.0,4.42,4.36,2.72,729.7103132337488
1302,0.39,5,6,8,61.5,55.5,4.68,4.72,2.88,1433.7124506062555
1303,0.4,5,6,4,61.4,57.0,4.78,4.75,2.92,1077.7802442494617
1304,1.01,2,5,3,63.5,59.0,6.29,6.38,4.02,4668.430211834985
1305,1.02,5,2,2,60.6,56.0,6.57,6.53,3.97,3328.7202265982
1306,1.01,5,7,3,63.0,56.0,6.36,6.41,4.02,5592.486121010779
1307,0.7,5,5,3,61.8,56.0,5.68,5.75,3.53,2559.754698618416
1308,0.57,3,5,4,59.5,57.0,5.39,5.43,3.22,1909.4309852749936
1309,1.5,3,5,3,63.9,58.0,7.12,7.16,4.56,10207.211519683016
1310,1.01,4,1,2,59.3,56.0,6.51,6.45,3.84,2647.3422122578013
1311,0.51,5,7,4,61.2,55.0,5.17,5.13,3.15,1779.324022792862
1312,1.0,4,6,2,61.7,58.0,6.39,6.34,3.93,4245.633086329834
1313,0.71,4,6,7,62.5,57.0,5.67,5.62,3.53,4059.9707969374967
1314,0.52,3,7,6,59.8,55.0,5.28,5.35,3.18,2142.5554597181745
1315,0.4,2,2,8,62.3,62.0,4.69,4.72,2.93,1014.5008790533781
1316,0.81,4,2,6,62.9,59.0,5.95,5.84,3.71,3559.970994507306
1317,0.53,5,5,6,61.3,55.0,5.23,5.27,3.22,2116.740531861664
1318,2.02,4,2,2,59.4,59.0,8.25,8.21,4.89,11810.041056777363
1319,2.11,5,2,3,61.0,57.0,8.37,8.29,5.08,15872.323008180862
1320,1.15,5,7,4,58.5,57.0,6.96,6.93,4.06,8253.998590458583
1321,0.7,4,2,6,60.1,59.0,5.8,5.72,3.46,2716.770233176937
1322,1.07,4,5,3,61.7,56.0,6.66,6.5,4.06,5574.643274041238
1323,0.56,5,3,3,61.9,54.0,5.3,5.33,3.29,1461.0774241096813
1324,1.74,5,4,4,62.9,57.0,7.68,7.64,4.82,15307.996112562756
1325,0.31,3,4,6,62.2,56.0,4.31,4.34,2.69,689.9537467420793
1326,0.5,3,3,6,62.9,56.0,5.03,5.08,3.18,1565.4898009437945
1327,1.07,5,7,6,60.3,56.0,6.63,6.68,4.01,8731.244871954663
1328,0.3,4,4,5,61.8,59.0,4.37,4.34,2.69,610.034180352979
1329,0.51,5,6,3,62.1,55.0,5.09,5.15,3.18,1483.0888154958145
1330,0.91,3,4,3,63.5,58.0,6.15,6.04,3.87,3747.0552980859243
1331,0.3,3,3,3,61.3,58.0,4.29,4.33,2.64,429.7898516672103
1332,0.7,5,5,4,61.0,55.0,5.74,5.79,3.52,2943.692607331196
1333,0.76,5,7,5,61.7,56.0,5.84,5.87,3.61,4191.582453679953
1334,1.15,5,2,5,61.3,56.0,6.74,6.76,4.14,6467.976200460539
1335,1.47,4,1,2,60.0,58.0,7.36,7.31,4.4,5355.565350889048
1336,1.2,5,4,3,61.8,59.0,6.77,6.8,4.19,6630.228305158327
1337,1.07,5,6,3,60.4,57.0,6.62,6.56,3.98,5996.16156593873
1338,1.01,5,5,3,62.0,54.0,6.41,6.49,4.0,5108.05642856101
1339,0.28,4,4,6,60.2,60.0,4.24,4.26,2.56,585.9477144955132
1340,2.27,4,3,2,60.7,59.0,8.5,8.45,5.15,16423.63772133738
1341,0.4,4,7,4,61.7,59.0,4.75,4.72,2.92,1100.1101067477057
1342,0.39,3,1,5,63.5,58.0,4.64,4.59,2.93,661.6846865809052
1343,1.14,4,3,2,60.6,59.0,6.8,6.77,4.11,4491.070762780667
1344,0.53,5,6,7,61.9,55.0,5.2,5.21,3.22,2394.8536464021136
1345,0.4,5,2,2,61.0,58.0,4.74,4.77,2.9,570.3759677031067
1346,0.58,4,3,4,59.7,59.0,5.42,5.33,3.21,1757.2492086643795
1347,0.7,4,7,3,61.2,58.0,5.74,5.7,3.5,2751.9417213389047
1348,0.55,5,3,8,61.5,55.0,5.25,5.29,3.25,2261.260641369943
1349,0.72,3,2,4,63.3,57.0,5.66,5.72,3.6,2286.339378419312
1350,0.3,5,5,3,62.3,53.9,4.28,4.31,2.68,519.3355525021586
